qx,qy,qz,qw,qtime,mx,my,mz,mtime,ax,ay,az,atime,gyrox,gyroy,gyroz,gyrotime,linax,linay,linaz
-14607.500000,0.000000,1.063362,0.000000,42047,1657,4863,25081,64258,11896,25600,-512,51719,121,0,0,41984,-135,-1,511
0.024216,0.011023,0.748172,0.662971,31217,-250,-1774,609,30971,46,100,2046,31217,-1,0,0,31217,-1,-1,1
0.024215,0.011024,0.748172,0.662971,31255,-250,-1774,609,30971,46,100,2046,31255,0,0,0,31255,-1,-1,1
0.024215,0.011025,0.748172,0.662972,31293,-270,-1759,594,31284,46,100,2046,31332,0,0,0,31293,0,-1,1
0.024216,0.011024,0.748169,0.662974,31370,-270,-1759,594,31284,46,100,2046,31370,0,0,0,31370,0,-1,1
0.024215,0.011024,0.748170,0.662974,31409,-270,-1759,594,31284,46,100,2046,31409,0,0,0,31409,0,-1,1
0.024215,0.011025,0.748170,0.662974,31447,-270,-1759,594,31284,46,100,2046,31447,0,0,0,31447,0,-1,1
0.024215,0.011025,0.748169,0.662974,31485,-270,-1759,594,31284,46,100,2046,31524,0,0,0,31485,0,-1,1
0.024215,0.011024,0.748169,0.662975,31562,-270,-1759,594,31284,46,100,2046,31562,0,0,0,31562,0,-1,1
0.024214,0.011024,0.748169,0.662975,31601,-275,-1789,584,31597,46,100,2046,31601,0,0,0,31601,0,-1,1
0.024214,0.011026,0.748168,0.662976,31639,-275,-1789,584,31597,46,100,2046,31639,0,0,0,31639,0,-1,1
0.024214,0.011026,0.748167,0.662977,31677,-275,-1789,584,31597,46,100,2046,31716,0,0,0,31677,0,-1,1
0.024213,0.011027,0.748166,0.662978,31754,-275,-1789,584,31597,46,100,2046,31754,0,0,0,31754,0,-1,1
0.024214,0.011028,0.748166,0.662978,31793,-275,-1789,584,31597,46,100,2046,31793,0,0,0,31793,0,-1,1
0.024227,0.011024,0.748167,0.662976,31831,-275,-1789,584,31597,46,100,2046,31869,0,1,0,31831,0,-1,1
0.024226,0.011023,0.748167,0.662977,31908,-275,-1789,584,31597,46,100,2046,31908,0,0,0,31908,0,-1,1
0.024228,0.011023,0.748165,0.662979,31946,-265,-1784,589,31910,46,100,2046,31946,0,-1,-1,31946,0,-1,1
0.024229,0.011024,0.748165,0.662979,31984,-265,-1784,589,31910,46,100,2046,31984,0,0,0,31984,0,-1,1
0.024228,0.011025,0.748163,0.662981,32023,-265,-1784,589,31910,46,100,2046,32061,0,0,-1,32023,0,-1,1
0.024228,0.011025,0.748161,0.662983,32100,-265,-1784,589,31910,46,100,2046,32100,0,0,-1,32100,0,-1,1
0.024227,0.011026,0.748162,0.662982,32138,-265,-1784,589,31910,46,100,2046,32138,0,1,0,32138,0,-1,1
0.024226,0.011026,0.748162,0.662982,32176,-265,-1784,589,31910,46,100,2046,32176,0,0,0,32176,0,-1,1
0.024225,0.011026,0.748162,0.662982,32215,-260,-1774,609,32223,46,100,2046,32253,0,0,0,32215,0,-1,1
0.024225,0.011025,0.748161,0.662983,32292,-260,-1774,609,32223,46,100,2046,32292,0,0,0,32292,0,-1,1
0.024226,0.011026,0.748161,0.662983,32330,-260,-1774,609,32223,46,100,2046,32330,0,0,0,32330,0,-1,2
0.024226,0.011026,0.748160,0.662984,32368,-260,-1774,609,32223,46,100,2047,32407,0,0,0,32368,0,-1,2
0.024226,0.011028,0.748161,0.662983,32445,-260,-1774,609,32223,46,100,2047,32445,0,0,0,32445,0,-1,2
0.024224,0.011027,0.748162,0.662982,32484,-260,-1774,609,32223,46,100,2047,32484,0,0,0,32484,0,-1,2
0.024225,0.011027,0.748162,0.662982,32522,-240,-1789,594,32536,46,100,2047,32522,0,0,0,32522,0,-1,1
0.024226,0.011029,0.748162,0.662982,32560,-240,-1789,594,32536,46,100,2046,32599,1,0,0,32560,0,-1,1
0.024227,0.011030,0.748161,0.662983,32637,-240,-1789,594,32536,46,100,2046,32637,0,0,0,32637,0,-1,1
0.024228,0.011029,0.748161,0.662983,32676,-240,-1789,594,32536,46,100,2046,32676,0,0,0,32676,-1,-1,1
0.024228,0.011030,0.748161,0.662983,32714,-240,-1789,594,32536,46,100,2046,32714,0,0,0,32714,-1,-1,1
0.024226,0.011032,0.748162,0.662982,32752,-240,-1789,594,32536,46,100,2046,32791,0,1,0,32752,-1,-1,1
0.024226,0.011029,0.748163,0.662981,32829,-240,-1789,594,32536,46,100,2046,32829,0,0,0,32829,-1,-1,1
0.024227,0.011031,0.748161,0.662983,32868,-231,-1789,589,32849,46,100,2046,32868,0,0,-1,32868,-1,-1,1
0.024229,0.011032,0.748159,0.662985,32906,-231,-1789,589,32849,46,100,2046,32906,1,0,-1,32906,-1,-1,2
0.024246,0.011031,0.748159,0.662985,32944,-231,-1789,589,32849,46,100,2047,32983,0,0,0,32944,-1,-1,2
0.024246,0.011030,0.748158,0.662986,33021,-231,-1789,589,32849,46,100,2047,33021,0,0,0,33021,-1,-1,2
0.024247,0.011033,0.748159,0.662985,33060,-231,-1789,589,32849,46,100,2047,33060,1,0,0,33060,-1,-1,2
